Biomarker	Function	Somatic_or_Germline_alteration	Alteration	Biomarker_basket
MET	Gain-of-function	Somatic	Overexpression	TK
PTPN12	Loss-of-function	Somatic	Deletion	TK
PTPN12	Loss-of-function	Somatic	Underexpression	TK
NF1	Loss-of-function	Somatic	SNV/indel	RME
NF1	Loss-of-function	Somatic	Underexpression	RME
TET2	Loss-of-function	Somatic	SNV/indel	OTH
CD274	Gain-of-function	Somatic	Overexpression	IE
CTLA4	Gain-of-function	Somatic	Overexpression	IE
HRD	Composite biomarker	Somatic	Positive	DDR
PDCD1	Gain-of-function	Somatic	Overexpression	IE
PDCD1LG2	Gain-of-function	Somatic	Overexpression	IE
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
SETD2	Loss-of-function	Somatic	SNV/indel	OTH
ERBB4	Gain-of-function	Somatic	Overexpression	TK
NRG1	Gain-of-function	Somatic	Overexpression	TK
NRG3	Gain-of-function	Somatic	Overexpression	TK
CDKN2A	Loss-of-function	Somatic	Deletion	CC
CDKN2A	Loss-of-function	Somatic	Underexpression	CC
CDKN2B	Loss-of-function	Somatic	Deletion	CC
CDKN2B	Loss-of-function	Somatic	Underexpression	CC
KDR	Gain-of-function	Somatic	Overexpression	TK
CD274	Gain-of-function	Somatic	Overexpression	IE
CTLA4	Gain-of-function	Somatic	Overexpression	IE
MET	Gain-of-function	Somatic	Overexpression	TK
PDCD1	Gain-of-function	Somatic	Overexpression	IE
PDCD1LG2	Gain-of-function	Somatic	Overexpression	IE
RET	Gain-of-function	Somatic	Overexpression	TK
LAG3	Gain-of-function	Somatic	Overexpression	IE
TMB	Composite biomarker	Somatic	Positive	IE
NA	NA	NA	NA	NA
CDKN2A	Loss-of-function	Somatic	Deletion	CC
CDKN2B	Loss-of-function	Somatic	Deletion	CC
PTEN	Loss-of-function	Somatic	Underexpression	PAM
PTEN	Loss-of-function	Somatic	Deletion	PAM
ATR	Loss-of-function	Somatic	Deletion	DDR
ERCC1	Loss-of-function	Somatic	Deletion	DDR
ERCC2	Loss-of-function	Somatic	Deletion	DDR
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
NA	NA	NA	NA	NA
BRAF	Gain-of-function	Somatic	Overexpression	RME
KDR	Gain-of-function	Somatic	Overexpression	TK
MAP2K2	Gain-of-function	Somatic	Overexpression	RME
NRAS	Gain-of-function	Somatic	Overexpression	RME
RAF1	Gain-of-function	Somatic	Overexpression	RME
FGFR4	Gain-of-function	Somatic	Overexpression	TK
MERTK	Gain-of-function	Somatic	Overexpression	TK
NTRK3	Gain-of-function	Somatic	Overexpression	TK
BRCA1	Loss-of-function	Germline	SNV/indel	DDR
FANCB	Loss-of-function	Somatic	Deletion	DDR
FANCC	Loss-of-function	Somatic	Deletion	DDR
FANCF	Loss-of-function	Somatic	Deletion	DDR
BRCA1	Loss-of-function	Germline	NA	DDR
BRCA2	Loss-of-function	Somatic	Deletion	DDR
BRCC3	Loss-of-function	Somatic	Deletion	NA
FANCA	Loss-of-function	Somatic	Deletion	DDR
FANCB	Loss-of-function	Somatic	Deletion	DDR
RAD51B	Loss-of-function	Somatic	Fusion	DDR
ZAR1L	Loss-of-function	Somatic	Fusion	NA
BRCA2	Loss-of-function	Somatic	Deletion	DDR
BRCC3	Loss-of-function	Somatic	Deletion	NA
FANCA	Loss-of-function	Somatic	Deletion	DDR
FANCB	Loss-of-function	Somatic	Deletion	DDR
RAD51B	Loss-of-function	Somatic	Fusion	DDR
RAD51B	Loss-of-function	Somatic	Deletion	DDR
ZAR1L	Loss-of-function	Somatic	Fusion	NA
EWSR1	Gain-of-function	Somatic	Fusion	OTH
WT1	NA	Somatic	Fusion	DEV
NA	NA	NA	NA	NA
ATM	Loss-of-function	Somatic	Deletion	DDR
BRCA2	Loss-of-function	Somatic	Deletion	DDR
CHEK1	Loss-of-function	Somatic	Deletion	DDR
FANCG	Loss-of-function	Somatic	Deletion	DDR
STK36	Loss-of-function	Somatic	Deletion	DEV
ATM	Loss-of-function	Somatic	Deletion	DDR
BRCA2	Loss-of-function	Somatic	Deletion	DDR
CHEK1	Loss-of-function	Somatic	Deletion	DDR
FANCG	Loss-of-function	Somatic	Deletion	DDR
STK36	Loss-of-function	Somatic	Deletion	DEV
CTLA4	Gain-of-function	Somatic	Gain	IE
PDCD1LG2	Gain-of-function	Somatic	Overexpression	IE
ABL1	Gain-of-function	Somatic	Overexpression	RME
DDR2	Gain-of-function	Somatic	Overexpression	TK
PDGFRB	Gain-of-function	Somatic	Overexpression	TK
ROR1	Gain-of-function	Somatic	Overexpression	TK
CDKN2A	Loss-of-function	Somatic	Deletion	CC
CDKN2A	Loss-of-function	Somatic	Underexpression	CC
CDKN2B	Loss-of-function	Somatic	Underexpression	CC
CDKN2B	Loss-of-function	Somatic	Deletion	CC
RB1	Loss-of-function	Somatic	Underexpression	CC
RB1	Loss-of-function	Somatic	Deletion	CC
FGF3	Gain-of-function	Somatic	Gain	TK
FGF4	Gain-of-function	Somatic	Gain	TK
PRDM2	Loss-of-function	Somatic	SNV/indel	NA
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
FGFR3	Gain-of-function	Somatic	Overexpression	TK
NA	NA	NA	NA	NA
CTLA4	Gain-of-function	Somatic	Overexpression	IE
LAG3	Gain-of-function	Somatic	Overexpression	IE
PDCD1	Gain-of-function	Somatic	Overexpression	IE
MTOR	Gain-of-function	Somatic	SNV/indel	PAM
ARAF	Gain-of-function	Somatic	SNV/indel	RME
ARAF	Gain-of-function	Somatic	Gain	RME
NBN	Loss-of-function	Germline	NA	DDR
NA	NA	NA	NA	NA
PTEN	Loss-of-function	Somatic	SNV/indel	PAM
SBS3	Composite biomarker	NA	Mutational signature	DDR
FLT3	Gain-of-function	Somatic	Overexpression	TK
FLT3	Gain-of-function	Somatic	SNV/indel	TK
PTPN11	Loss-of-function	Somatic	SNV/indel	TK
KMT2A	Gain-of-function	Somatic	Fusion	CC
MLLT1	Gain-of-function	Somatic	Fusion	CC
XPC	Loss-of-function	Germline	NA	DDR
NA	NA	NA	NA	NA
EGFR	Gain-of-function	Somatic	Overexpression	TK
EGFR	Gain-of-function	Somatic	Gain	TK
CDK6	Gain-of-function	Somatic	Gain	CC
CDKN2A	Loss-of-function	Somatic	Deletion	CC
MET	Gain-of-function	Somatic	Overexpression	TK
MST1R	Gain-of-function	Somatic	Overexpression	TK
BRAF	Gain-of-function	Somatic	Fusion	RME
ITSN1	Gain-of-function	Somatic	Fusion	NA
RET	Gain-of-function	Somatic	SNV/indel	TK
ATR	Loss-of-function	Somatic	SNV/indel	DDR
STAT5A	Gain-of-function	Somatic	SNV/indel	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
PNKP	Loss-of-function	Somatic	SNV/indel	DDR
RAD50	Loss-of-function	Germline	SNV/indel	DDR
SBS3	Composite biomarker	Germline	Mutational signature	DDR
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
CRKL	Gain-of-function	Somatic	Overexpression	RME
TEK	Gain-of-function	Somatic	SNV/indel	TK
GNA11	Gain-of-function	Somatic	SNV/indel	RME
GNA11	Gain-of-function	Somatic	SNV/indel	RME
GNA11	Gain-of-function	Somatic	SNV/indel	RME
ALK	Gain-of-function	Somatic	Overexpression	TK
EPHA5	Gain-of-function	Somatic	Overexpression	TK
ERBB3	Gain-of-function	Somatic	Overexpression	TK
IGF1R	Gain-of-function	Somatic	Overexpression	TK
MET	Gain-of-function	Somatic	Overexpression	TK
IGF1R	Gain-of-function	Somatic	Overexpression	TK
KIT	Gain-of-function	Somatic	Overexpression	TK
MERTK	Gain-of-function	Somatic	Overexpression	TK
ERBB3	Gain-of-function	Somatic	Overexpression	TK
IGF1R	Gain-of-function	Somatic	Overexpression	TK
NRG3	Gain-of-function	Somatic	Overexpression	TK
TMB	Composite biomarker	NA	Positive	IE
SMAD4	Loss-of-function	Germline	NA	DEV
FLT4	Gain-of-function	Somatic	Overexpression	TK
PDGFB	Gain-of-function	Somatic	Overexpression	TK
PDGFRB	Gain-of-function	Somatic	Overexpression	TK
FGF3	Gain-of-function	Somatic	Overexpression	TK
FGF4	Gain-of-function	Somatic	Overexpression	TK
FGFR1	Gain-of-function	Somatic	Overexpression	TK
SDHB	Loss-of-function	Somatic	Underexpression	OTH
CSF3R	Gain-of-function	Somatic	SNV/indel	IE
MUTYH	Loss-of-function	Germline	NA	DDR
KRAS	Gain-of-function	Somatic	SNV/indel	RME
TMB	Composite biomarker	NA	Positive	IE
KRAS	Gain-of-function	Somatic	SNV/indel	RME
CHEK2	Loss-of-function	Somatic	Deletion	DDR
RAD51	Loss-of-function	Somatic	Deletion	DDR
SBS3	Composite biomarker	NA	Mutational signature	DDR
KIT	Gain-of-function	Somatic	SNV/indel	TK
KIT	Gain-of-function	Somatic	SNV/indel	TK
CCND1	Gain-of-function	Somatic	Overexpression	CC
CDKN2A	Loss-of-function	Somatic	Deletion	CC
PIK3CA	Gain-of-function	Somatic	SNV/indel	PAM
PIK3R1	Loss-of-function	Somatic	SNV/indel	PAM
MET	Gain-of-function	Somatic	Gain	TK
PTCH2	Loss-of-function	Somatic	Deletion	DEV
CDKN2A	Loss-of-function	Somatic	Deletion	CC
CDKN2B	Loss-of-function	Somatic	Deletion	CC
HRD	Composite biomarker	Somatic	Positive	DDR
PTEN	Loss-of-function	Somatic	Deletion	PAM
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
SBS8	Composite biomarker	Somatic	Mutational signature	DDR
PIK3CB	Gain-of-function	Somatic	SNV/indel	NA
PTEN	Loss-of-function	Somatic	Deletion	PAM
KRAS	Gain-of-function	Somatic	SNV/indel	RME
RRAS2	Gain-of-function	Somatic	SNV/indel	TK
ERBB4	Gain-of-function	Somatic	Overexpression	TK
NRG1	Gain-of-function	Somatic	Overexpression	TK
PTEN	Loss-of-function	Somatic	SNV/indel	PAM
PTEN	Loss-of-function	Somatic	SNV/indel	PAM
TP53	Loss-of-function	Germline	NA	CC
TMB	Composite biomarker	Somatic	Positive	IE
CDKN2A	Loss-of-function	Somatic	Deletion	CC
CDKN2B	Loss-of-function	Somatic	Deletion	CC
BAP1	Loss-of-function	Somatic	SNV/indel	DDR
BRCA2	Loss-of-function	Somatic	Underexpression	DDR
FANCA	Loss-of-function	Somatic	SNV/indel	DDR
RAD51AP1	Loss-of-function	Somatic	Underexpression	DDR
XRCC2	Loss-of-function	Somatic	Underexpression	DDR
ERCC4	Loss-of-function	Germline	NA	DDR
BRCA2	Loss-of-function	Somatic	Deletion	DDR
CHEK2	Loss-of-function	Somatic	Deletion	DDR
ERCC3	Loss-of-function	Somatic	Deletion	DDR
HRD	Composite biomarker	Somatic	Positive	DDR
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
EGFR	Gain-of-function	Somatic	Overexpression	TK
CDKN2A	Loss-of-function	Somatic	Deletion	CC
CDKN2B	Loss-of-function	Somatic	Deletion	CC
CLDN18	Gain-of-function	Somatic	Overexpression	IE
RAD50	Loss-of-function	Somatic	SNV/indel	DDR
TMB	Composite biomarker	Somatic	Positive	IE
MTOR	Gain-of-function	Somatic	SNV/indel	PAM
PIK3CA	Gain-of-function	Somatic	Overexpression	PAM
PTEN	Loss-of-function	Somatic	Deletion	PAM
RHEB	Gain-of-function	Somatic	Overexpression	PAM
MYC	Gain-of-function	Somatic	Overexpression	CC
MYC	Gain-of-function	Somatic	Fusion	CC
PVT1	Gain-of-function	Somatic	Fusion	NA
PVT1	Gain-of-function	Somatic	Overexpression	NA
ARID1A	Loss-of-function	Somatic	Fusion	OTH
DOT1L	Loss-of-function	Somatic	Fusion	OTH
KRAS	Gain-of-function	Somatic	SNV/indel	RME
ALK	Gain-of-function	Somatic	Overexpression	TK
ATM	Loss-of-function	Somatic	Underexpression	DDR
ATM	Loss-of-function	Somatic	Deletion	DDR
ATRX	Loss-of-function	Somatic	SNV/indel	OTH
BRCA1	Loss-of-function	Somatic	Underexpression	DDR
BRCA1	Loss-of-function	Somatic	Deletion	DDR
FANCD2	Loss-of-function	Somatic	Deletion	DDR
FANCD2	Loss-of-function	Somatic	Underexpression	DDR
HRD	Composite biomarker	Somatic	Positive	DDR
SBS8	Composite biomarker	Somatic	Mutational signature	DDR
CDK9	Gain-of-function	Somatic	Overexpression	CC
ATM	Loss-of-function	Somatic	SNV/indel	DDR
BAP1	Loss-of-function	Germline	Underexpression	DDR
BAP1	Loss-of-function	Germline	SNV/indel	DDR
HRD	Composite biomarker	Somatic	Positive	DDR
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
PTEN	Loss-of-function	Somatic	Deletion	PAM
STK11	Loss-of-function	Somatic	Deletion	PAM
PTEN	Loss-of-function	Somatic	Deletion	PAM
HDAC2	Loss-of-function	Somatic	Deletion	DDR
MLH3	Loss-of-function	Somatic	Deletion	DDR
RAD51B	Loss-of-function	Somatic	Deletion	DDR
ERBB2	Gain-of-function	Somatic	Overexpression	TK
ERBB3	Gain-of-function	Somatic	Overexpression	TK
NRG2	Gain-of-function	Somatic	Overexpression	TK
MYC	Gain-of-function	Somatic	Gain	CC
ATM	Loss-of-function	Somatic	SNV/indel	DDR
SBS3	Composite biomarker	NA	Mutational signature	DDR
CD274	Gain-of-function	Somatic	Overexpression	IE
PDCD1	Gain-of-function	Somatic	Overexpression	IE
PDCD1LG2	Gain-of-function	Somatic	Overexpression	IE
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
ERCC6	Loss-of-function	Somatic	SNV/indel	DDR
FANCF	Loss-of-function	Somatic	SNV/indel	DDR
HRD	Composite biomarker	Somatic	Positive	DDR
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
SLFN11	Gain-of-function	Somatic	SNV/indel	DDR
ERBB4	Gain-of-function	Somatic	Overexpression	TK
NRG1	Gain-of-function	Somatic	Overexpression	TK
NRG2	Gain-of-function	Somatic	Overexpression	TK
DLL3	Gain-of-function	Somatic	Overexpression	DEV
SF3B1	Loss-of-function	Somatic	SNV/indel	OTH
NA	NA	Germline	NA	NA
FGFR1	Gain-of-function	Somatic	Gain	TK
FGFR1	Gain-of-function	Somatic	Overexpression	TK
BRCA2	Loss-of-function	Somatic	Deletion	DDR
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
PTEN	Loss-of-function	Somatic	Deletion	PAM
CDK4	Gain-of-function	Somatic	Overexpression	CC
CDK4	Gain-of-function	Somatic	Gain	CC
MDM2	Gain-of-function	Somatic	Gain	CC
MDM2	Gain-of-function	Somatic	Overexpression	CC
ERBB3	Gain-of-function	Somatic	Overexpression	TK
ERBB3	Gain-of-function	Somatic	Gain	TK
TMB	Composite biomarker	NA	Positive	IE
ARID1A	Loss-of-function	Somatic	SNV/indel	OTH
LCK	Gain-of-function	Somatic	Overexpression	TK
MCL1	Gain-of-function	Somatic	Overexpression	CC
CDKN1A	Loss-of-function	Somatic	Underexpression	CC
CDKN2B	Loss-of-function	Somatic	Underexpression	CC
ARID1A	Loss-of-function	Somatic	SNV/indel	OTH
HRD	Composite biomarker	Somatic	Positive	DDR
NF1	Loss-of-function	Somatic	Deletion	RME
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
NF1	Loss-of-function	Somatic	Deletion	RME
NF1	Loss-of-function	Somatic	Deletion	RME
CTAG1B	Gain-of-function	Somatic	Overexpression	IE
GLI1	Gain-of-function	Somatic	Overexpression	DEV
GLI2	Gain-of-function	Somatic	Overexpression	DEV
SMO	Gain-of-function	Somatic	Overexpression	DEV
CDKN2A	Loss-of-function	Somatic	Deletion	CC
CDKN2B	Loss-of-function	Somatic	Deletion	CC
CDKN2A	Loss-of-function	Somatic	Deletion	CC
CDKN2A	Loss-of-function	Somatic	Deletion	CC
CDKN2B	Loss-of-function	Somatic	Deletion	CC
TMB	Composite biomarker	Somatic	Positive	IE
PIK3CA	Gain-of-function	Somatic	SNV/indel	PAM
FGFR4	Gain-of-function	Somatic	Overexpression	TK
ROS1	Gain-of-function	Somatic	Overexpression	TK
ATR	Loss-of-function	Somatic	Deletion	DDR
BRCA2	Loss-of-function	Somatic	Deletion	DDR
CHEK1	Loss-of-function	Somatic	Deletion	DDR
FANCD2	Loss-of-function	Somatic	Deletion	DDR
HDAC2	Loss-of-function	Somatic	Deletion	DDR
RAD51	Loss-of-function	Somatic	Deletion	DDR
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
PDGFRA	Gain-of-function	Somatic	Gain	TK
PDGFRA	Gain-of-function	Somatic	Overexpression	TK
BRCA2	Loss-of-function	Somatic	SNV/indel	DDR
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
CDK9	Gain-of-function	Somatic	Overexpression	CC
MCL1	Gain-of-function	Somatic	Overexpression	CC
ERBB2	Gain-of-function	Somatic	Gain	TK
FLT1	Gain-of-function	Somatic	SNV/indel	TK
EPHA3	Gain-of-function	Somatic	SNV/indel	TK
PARP1	Gain-of-function	Somatic	Gain	DDR
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
LAG3	Gain-of-function	Somatic	Gain	IE
DDIT3	Gain-of-function	Somatic	Fusion	OTH
FUS	Gain-of-function	Somatic	Fusion	OTH
ATM	Loss-of-function	Germline	NA	DDR
BRCA2	Loss-of-function	Somatic	Deletion	DDR
PALB2	Loss-of-function	Somatic	Deletion	DDR
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
AKT3	Gain-of-function	Somatic	Overexpression	PAM
RHEB	Gain-of-function	Somatic	Overexpression	PAM
RPTOR	Gain-of-function	Somatic	Overexpression	PAM
RB1	Loss-of-function	Germline	NA	CC
PDGFRA	Gain-of-function	Somatic	SNV/indel	TK
NA	NA	NA	NA	NA
TMB	Composite biomarker	Somatic	Positive	IE
KRAS	Gain-of-function	Somatic	SNV/indel	RME
ARID1A	Loss-of-function	Somatic	SNV/indel	OTH
FGFR1	Gain-of-function	Somatic	Gain	TK
FGF1	Gain-of-function	Somatic	Overexpression	TK
FGF1	Gain-of-function	Somatic	Gain	TK
FGF2	Gain-of-function	Somatic	Overexpression	TK
FGFR3	Gain-of-function	Somatic	Overexpression	TK
ASCL1	Gain-of-function	Somatic	Gain	OTH
ASCL1	Gain-of-function	Somatic	Overexpression	OTH
MYC	Gain-of-function	Somatic	Overexpression	CC
MYCL	Gain-of-function	Somatic	Overexpression	CC
ASCL1	Gain-of-function	Somatic	Gain	OTH
ASCL1	Gain-of-function	Somatic	Overexpression	OTH
BCL2	Gain-of-function	Somatic	Overexpression	OTH
CDKN2A	Loss-of-function	Somatic	SNV/indel	CC
NA	NA	NA	NA	NA
FGFR2	Gain-of-function	Somatic	Overexpression	TK
FGFR3	Gain-of-function	Somatic	Overexpression	TK
FGFR4	Gain-of-function	Somatic	Overexpression	TK
KLB	Gain-of-function	Somatic	Overexpression	TK
KLB	Gain-of-function	Somatic	Gain	TK
ERBB3	Gain-of-function	Somatic	Overexpression	TK
NRG3	Gain-of-function	Somatic	Overexpression	TK
PDGFB	Gain-of-function	Somatic	Overexpression	TK
ATM	Loss-of-function	Somatic	Deletion	DDR
ATM	Loss-of-function	Somatic	Underexpression	DDR
ATRX	Loss-of-function	Somatic	Underexpression	OTH
BRCA2	Loss-of-function	Somatic	Underexpression	DDR
FANCD2	Loss-of-function	Somatic	Underexpression	DDR
XRCC2	Loss-of-function	Somatic	Underexpression	DDR
XRCC3	Loss-of-function	Somatic	Deletion	DDR
XRCC3	Loss-of-function	Somatic	Underexpression	DDR
ATM	Loss-of-function	Somatic	Deletion	DDR
ATM	Loss-of-function	Somatic	Underexpression	DDR
ATRX	Loss-of-function	Somatic	Underexpression	OTH
BRCA2	Loss-of-function	Somatic	Underexpression	DDR
FANCD2	Loss-of-function	Somatic	Underexpression	DDR
XRCC2	Loss-of-function	Somatic	Underexpression	DDR
XRCC3	Loss-of-function	Somatic	Underexpression	DDR
XRCC3	Loss-of-function	Somatic	Deletion	DDR
BRCA2	Loss-of-function	Germline	SNV/indel	DDR
HRD	Composite biomarker	NA	Positive	DDR
SBS3	Composite biomarker	NA	Mutational signature	DDR
NRAS	Gain-of-function	Somatic	SNV/indel	RME
TMB	Composite biomarker	NA	Positive	IE
FGFR3	Gain-of-function	Somatic	Gain	TK
FGFR3	Gain-of-function	Somatic	Overexpression	TK
FGFR4	Gain-of-function	Somatic	Overexpression	TK
FGFR4	Gain-of-function	Somatic	Gain	TK
BRCA2	Loss-of-function	Germline	NA	DDR
CD274	Gain-of-function	Somatic	Overexpression	IE
ABL1	Gain-of-function	Somatic	Overexpression	RME
ABL1	Gain-of-function	Somatic	Gain	RME
KIT	Gain-of-function	Somatic	Overexpression	TK
NTRK1	Gain-of-function	Somatic	Overexpression	TK
NTRK1	Gain-of-function	Somatic	Gain	TK
SRC	Gain-of-function	Somatic	Overexpression	TK
SRC	Gain-of-function	Somatic	Gain	TK
NRG2	Gain-of-function	Somatic	Overexpression	TK
NA	NA	NA	NA	NA
EZH2	Gain-of-function	Somatic	Overexpression	OTH
EZH2	Gain-of-function	Somatic	Overexpression	OTH
SMARCA4	Loss-of-function	Somatic	SNV/indel	DEV
NA	NA	NA	NA	NA
CDK4	Gain-of-function	Somatic	Overexpression	CC
CDK4	Gain-of-function	Somatic	Gain	CC
MDM2	Gain-of-function	Somatic	Gain	CC
MDM2	Gain-of-function	Somatic	Overexpression	CC
FGFR4	Gain-of-function	Somatic	Overexpression	TK
STK11	Loss-of-function	Somatic	Deletion	PAM
NA	NA	NA	NA	NA
TSC2	Loss-of-function	Somatic	SNV/indel	PAM
ATM	Loss-of-function	Somatic	Deletion	DDR
BAP1	Loss-of-function	Somatic	Deletion	DDR
BRCA1	Loss-of-function	Somatic	Deletion	DDR
BRCA2	Loss-of-function	Somatic	Deletion	DDR
ERCC5	Loss-of-function	Somatic	Deletion	DDR
FANCC	Loss-of-function	Somatic	Deletion	DDR
FANCF	Loss-of-function	Somatic	Deletion	DDR
FANCG	Loss-of-function	Somatic	Deletion	DDR
MLH3	Loss-of-function	Somatic	Deletion	DDR
MRE11	Loss-of-function	Somatic	Deletion	DDR
RAD51	Loss-of-function	Somatic	Deletion	DDR
SEM1	Loss-of-function	Somatic	Deletion	DDR
XRCC3	Loss-of-function	Somatic	Deletion	DDR
ERBB2	Gain-of-function	Somatic	SNV/indel	TK
ERBB2	Gain-of-function	Somatic	Overexpression	TK
ERBB3	Gain-of-function	Somatic	Gain	TK
ERBB3	Gain-of-function	Somatic	Overexpression	TK
ERBB4	Gain-of-function	Somatic	Overexpression	TK
CDK4	Gain-of-function	Somatic	Overexpression	CC
CDK4	Gain-of-function	Somatic	Gain	CC
AKT1	Gain-of-function	Somatic	Gain	PAM
BAP1	Loss-of-function	Germline	SNV/indel	DDR
FANCM	Loss-of-function	Germline	SNV/indel	DDR
FGFR1	Gain-of-function	Somatic	Overexpression	TK
FGFR3	Gain-of-function	Somatic	Overexpression	TK
ABL2	Gain-of-function	Somatic	Overexpression	RME
CSF1R	Gain-of-function	Somatic	Overexpression	TK
PDGFRA	Gain-of-function	Somatic	Overexpression	TK
PDGFRB	Gain-of-function	Somatic	Overexpression	TK
VEGFB	Gain-of-function	Somatic	Overexpression	TK
CDK4	Gain-of-function	Somatic	Gain	CC
TMB	Composite biomarker	NA	Positive	IE
ALK	Gain-of-function	Somatic	Fusion	TK
EML4	Gain-of-function	Somatic	Fusion	NA
CDKN2A	Loss-of-function	Somatic	Underexpression	CC
CDKN2A	Loss-of-function	Somatic	Deletion	CC
NA	NA	NA	NA	NA
CTLA4	Gain-of-function	Somatic	Overexpression	IE
KRAS	Gain-of-function	Somatic	SNV/indel	RME
LAG3	Gain-of-function	Somatic	Overexpression	IE
PIK3CA	Gain-of-function	Somatic	SNV/indel	PAM
ARID1A	Loss-of-function	Somatic	SNV/indel	OTH
ARID1A	Loss-of-function	Somatic	SNV/indel	OTH
ARID1A	Loss-of-function	Somatic	SNV/indel	OTH
PDGFA	Gain-of-function	Somatic	Overexpression	TK
PDGFA	Gain-of-function	Somatic	Gain	TK
PDGFRA	Gain-of-function	Somatic	Overexpression	TK
PDGFRB	Gain-of-function	Somatic	Overexpression	TK
BRCA1	Loss-of-function	Somatic	Fusion	DDR
BRCA2	Loss-of-function	Somatic	Deletion	DDR
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
NA	NA	NA	NA	NA
IDH1	Gain-of-function	Somatic	SNV/indel	OTH
NA	NA	NA	NA	NA
BRCA2	Loss-of-function	Somatic	Underexpression	DDR
IDH1	Gain-of-function	Somatic	SNV/indel	OTH
SBS8	Composite biomarker	NA	Mutational signature	DDR
ABL1	Gain-of-function	Somatic	SNV/indel	RME
FLT1	Gain-of-function	Somatic	Overexpression	TK
FLT4	Gain-of-function	Somatic	Overexpression	TK
VEGFB	Gain-of-function	Somatic	Overexpression	TK
ERRFI1	Loss-of-function	Somatic	SNV/indel	TK
TSC1	Loss-of-function	Somatic	SNV/indel	PAM
BRCA2	Loss-of-function	Somatic	Deletion	DDR
HRD	Composite biomarker	NA	Positive	DDR
TMB	Composite biomarker	NA	Positive	IE
GLI3	Gain-of-function	Somatic	Overexpression	DEV
KIF7	Gain-of-function	Somatic	Overexpression	DEV
SMO	Gain-of-function	Somatic	Overexpression	DEV
KIT	Gain-of-function	Somatic	SNV/indel	TK
CTAG1B	Gain-of-function	Somatic	Overexpression	IE
ATM	Loss-of-function	Somatic	Underexpression	DDR
ATR	Loss-of-function	Somatic	Underexpression	DDR
ERCC3	Loss-of-function	Somatic	Underexpression	DDR
ERCC4	Loss-of-function	Somatic	Underexpression	DDR
ERCC5	Loss-of-function	Somatic	Underexpression	DDR
MRE11	Loss-of-function	Somatic	Underexpression	DDR
MSH2	Loss-of-function	Somatic	Underexpression	DDR
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
NA	NA	NA	NA	NA
NF1	Loss-of-function	Somatic	Deletion	RME
NF2	Loss-of-function	Somatic	SNV/indel	PAM
CDK4	Gain-of-function	Somatic	Gain	CC
CDK4	Gain-of-function	Somatic	Overexpression	CC
CDKN2C	Loss-of-function	Somatic	Deletion	CC
MDM2	Gain-of-function	Somatic	Gain	CC
MDM2	Gain-of-function	Somatic	Overexpression	CC
MET	Gain-of-function	Somatic	Overexpression	TK
FGFR1	Gain-of-function	Somatic	Overexpression	TK
GRM1	Gain-of-function	Somatic	Overexpression	OTH
ERBB2	Gain-of-function	Somatic	Overexpression	TK
ERBB2	Gain-of-function	Somatic	Gain	TK
ERBB4	Gain-of-function	Somatic	Overexpression	TK
PIK3CA	Gain-of-function	Somatic	SNV/indel	PAM
ARID1A	Loss-of-function	Somatic	SNV/indel	OTH
NA	NA	NA	NA	NA
FOXL2	Gain-of-function	Somatic	Overexpression	DEV
FOXL2	Gain-of-function	Somatic	SNV/indel	DEV
CDKN2A	Loss-of-function	Somatic	Deletion	CC
CDKN2A	Loss-of-function	Somatic	Underexpression	CC
PIK3CA	Gain-of-function	Somatic	SNV/indel	PAM
PIK3CA	Gain-of-function	Somatic	SNV/indel	PAM
CDKN2A	Loss-of-function	Somatic	Underexpression	CC
CDKN2A	Loss-of-function	Somatic	Deletion	CC
PIK3CA	Gain-of-function	Somatic	SNV/indel	PAM
RAD51	Loss-of-function	Somatic	Deletion	DDR
SBS8	Composite biomarker	Somatic	Mutational signature	DDR
RET	Gain-of-function	Somatic	Overexpression	TK
CD274	Gain-of-function	Somatic	Overexpression	IE
PDCD1LG2	Gain-of-function	Somatic	Overexpression	IE
ATM	Loss-of-function	Somatic	Deletion	DDR
BRCA1	Loss-of-function	Somatic	Deletion	DDR
FANCE	Loss-of-function	Somatic	Deletion	DDR
FANCG	Loss-of-function	Somatic	Deletion	DDR
TP53	Loss-of-function	Germline	NA	CC
CD274	Gain-of-function	Somatic	Overexpression	IE
